1000:::A+B:::80930:::251888:::44.993%
1001:::A-B:::66492:::107875:::72.230%
1002:::터렛:::9965:::72575:::19.385%
1003:::피보나치 함수:::15095:::81029:::29.295%
1004:::어린 왕자:::5047:::15893:::40.711%
1005:::ACM Craft:::3500:::34520:::19.013%
1006:::습격자 초라기:::514:::6922:::15.543%
1007:::벡터 매칭:::638:::2790:::36.353%
1008:::A/B:::39762:::150212:::33.480%
1009:::분산처리:::6213:::29466:::27.335%
1010:::다리 놓기:::8217:::22081:::48.484%
1011:::Fly me to the Alpha Centauri:::6565:::31939:::27.883%
1012:::유기농 배추:::10426:::43279:::34.034%
1013:::Contact:::883:::3486:::33.600%
1014:::컨닝:::629:::3605:::38.354%
1015:::수열 정렬:::1853:::5228:::46.290%
1016:::제곱 ㄴㄴ 수:::2198:::22421:::18.938%
1017:::소수 쌍:::707:::5103:::19.191%
1018:::체스판 다시 칠하기:::5554:::15143:::45.074%
1019:::책 페이지:::1040:::6032:::36.186%
1020:::디지털 카운터:::193:::1720:::24.968%
1021:::회전하는 큐:::4485:::12730:::44.152%
1022:::소용돌이 예쁘게 출력하기:::1161:::5864:::29.542%
1023:::괄호 문자열:::234:::1249:::32.011%
1024:::수열의 합:::1773:::9437:::26.005%
1025:::제곱수 찾기:::166:::756:::28.425%
1026:::보물:::9213:::18612:::61.650%
1027:::고층 건물:::531:::2303:::31.873%
1028:::다이아몬드 광산:::431:::2579:::27.435%
1029:::그림 교환:::301:::1627:::25.552%
1030:::프렉탈 평면:::139:::457:::46.644%
1031:::스타 대결:::141:::1478:::16.151%
1032:::명령 프롬프트:::5142:::12733:::49.276%
1033:::칵테일:::137:::855:::23.580%
1034:::램프:::205:::797:::39.423%
1035:::조각 움직이기:::149:::576:::45.015%
1036:::36진수:::158:::1542:::16.667%
1037:::약수:::6059:::14690:::48.922%
1038:::감소하는 수:::1681:::8447:::29.911%
1039:::교환:::461:::3638:::19.184%
1040:::정수:::85:::925:::19.767%
1041:::주사위:::581:::3349:::22.722%
1042:::움:::32:::174:::34.043%
1043:::거짓말:::419:::2129:::30.517%
1044:::팀 선발:::79:::887:::15.134%
1045:::도로:::49:::266:::23.671%
1046:::그림자:::25:::191:::39.062%
1047:::울타리:::49:::287:::35.252%
1048:::유니콘:::41:::188:::36.283%
1049:::기타줄:::2590:::10683:::29.007%
1050:::물약:::44:::772:::9.735%
1051:::숫자 정사각형:::2010:::6590:::37.010%
1052:::물병:::278:::1049:::36.772%
1053:::팰린드롬 공장:::117:::517:::33.144%
1054:::팰린드롬 문장:::25:::146:::31.646%
1055:::끝이없음:::35:::416:::22.727%
1056:::수:::47:::514:::17.279%
1057:::토너먼트:::4445:::9956:::55.452%
1058:::친구:::745:::2430:::39.067%
1059:::수2:::491:::1962:::30.822%
1060:::구간:::30:::163:::24.390%
1061:::삼각형:::19:::122:::22.093%
1062:::가르침:::1215:::8166:::23.542%
1063:::킹:::965:::3677:::32.328%
1064:::평행사변형:::327:::1551:::28.021%
1065:::한수:::17362:::41787:::48.660%
1066:::에이한수:::21:::71:::72.414%
1067:::이동:::237:::1235:::45.057%
1068:::트리:::2330:::12825:::25.362%
1069:::집으로:::174:::1552:::18.432%
1070:::김지민의 침략:::27:::87:::69.231%
1071:::소트:::61:::622:::22.761%
1072:::게임:::1484:::10761:::20.368%
1073:::도미노:::43:::123:::48.864%
1074:::Z:::4225:::14347:::41.794%
1075:::나누기:::3090:::6525:::56.927%
1076:::저항:::4228:::12369:::40.444%
1077:::넓이:::30:::283:::15.789%
1078:::뒤집음:::32:::669:::14.097%
1079:::마피아:::86:::846:::15.275%
1080:::행렬:::1637:::4960:::41.007%
1081:::합:::264:::1630:::36.718%
1082:::방 번호:::97:::570:::26.216%
1083:::소트:::196:::1230:::31.161%
1084:::방 번호 2:::20:::406:::9.709%
1085:::직사각형에서 탈출:::8825:::17209:::58.124%
1086:::박성원:::280:::1796:::24.476%
1087:::쥐 잡기:::73:::382:::24.746%
1088:::케이크:::37:::436:::20.330%
1089:::엘리베이터:::100:::667:::22.676%
1090:::체커:::34:::166:::51.515%
1091:::카드 섞기:::55:::402:::35.484%
1092:::배:::298:::1971:::26.163%
1093:::스티커 수집:::32:::193:::22.378%
1094:::막대기:::7207:::11565:::73.691%
1095:::마법의 구슬:::48:::361:::23.881%
1096:::종이 접기:::24:::211:::22.857%
1097:::마법의 단어:::67:::255:::35.829%
1098:::쌍둥이 마을:::15:::155:::26.786%
1099:::알 수 없는 문장:::190:::1210:::27.941%
1100:::하얀 칸:::5922:::10394:::67.665%
1101:::스티커 정리 1:::25:::102:::37.313%
1102:::발전소:::879:::5933:::22.879%
1103:::게임:::673:::5530:::18.116%
1104:::패턴:::10:::116:::14.493%
1105:::팔:::401:::1503:::34.070%
1106:::호텔:::120:::522:::33.149%
1107:::리모컨:::4044:::26739:::21.806%
1108:::검색 엔진:::68:::564:::16.268%
1109:::섬:::27:::186:::21.951%
1110:::더하기 사이클:::25451:::61438:::49.509%
1111:::IQ Test:::421:::4226:::15.484%
1112:::진법 변환:::62:::250:::30.392%
1113:::수영장 만들기:::184:::1043:::27.259%
1114:::통나무 자르기:::213:::1687:::18.750%
1115:::순열:::50:::224:::53.763%
1116:::순열 2:::12:::57:::32.432%
1117:::색칠 1:::24:::157:::40.000%
1118:::색칠 2:::4:::10:::44.444%
1119:::그래프:::15:::74:::31.915%
1120:::문자열:::3101:::6958:::52.329%
1121:::도형:::48:::357:::23.415%
1122:::뒤집기:::14:::171:::26.415%
1123:::셔플:::6:::26:::54.545%
1124:::언더프라임:::497:::1633:::42.698%
1125:::바닥 장식:::5:::96:::15.625%
1126:::같은 탑:::675:::4421:::22.766%
1127:::떡국:::24:::79:::54.545%
1128:::피보나치 냅색:::49:::588:::15.170%
1129:::키:::14:::105:::40.000%
1130:::종이 레이싱:::2:::22:::11.765%
1131:::숫자:::29:::243:::26.606%
1132:::합:::168:::1020:::21.456%
1133:::반복되지 않는 단어:::5:::91:::17.241%
1134:::식:::7:::48:::41.176%
1135:::뉴스 전하기:::243:::886:::35.894%
1136:::조각 놓기:::4:::26:::18.182%
1137:::로봇 레이스:::7:::25:::41.176%
1138:::한 줄로 서기:::1434:::3056:::57.314%
1139:::울타리:::29:::132:::29.897%
1140:::요금:::9:::669:::10.843%
1141:::접두사:::55:::145:::45.833%
1142:::피자:::8:::40:::27.586%
1143:::경찰:::10:::36:::50.000%
1144:::싼 비용:::14:::127:::32.558%
1145:::적어도 대부분의 배수:::853:::1544:::60.972%
1146:::지그재그 서기:::226:::726:::41.166%
1147:::텐트:::14:::105:::30.435%
1148:::단어 만들기:::13:::41:::44.828%
1149:::RGB거리:::13728:::39562:::47.317%
1150:::백업:::102:::574:::25.436%
1151:::그림자:::4:::10:::50.000%
1152:::단어의 개수:::20150:::107919:::25.654%
1153:::네 개의 소수:::360:::1284:::39.088%
1154:::팀 편성:::13:::62:::35.135%
1155:::변형 하노이:::13:::48:::52.000%
1156:::장난감:::7:::138:::29.167%
1157:::단어 공부:::15378:::50697:::38.188%
1158:::요세푸스 문제:::9093:::25397:::49.852%
1159:::농구 경기:::2540:::5309:::53.893%
1160:::Random Number Generator:::17:::200:::53.125%
1161:::버스:::15:::56:::62.500%
1162:::도로포장:::415:::3786:::24.326%
1163:::증가하는 리스트:::3:::10:::50.000%
1164:::가리기:::5:::31:::83.333%
1165:::단어퍼즐:::9:::111:::23.684%
1166:::선물:::148:::1413:::15.983%
1167:::트리의 지름:::2144:::7717:::37.190%
1168:::요세푸스 문제 2:::721:::2676:::45.034%
1169:::정사각형 진열:::5:::32:::31.250%
1170:::선인장의 개수:::28:::91:::35.000%
1171:::사오정:::5:::10:::83.333%
1172:::선인장 Automorphisms:::4:::8:::66.667%
1173:::운동:::639:::2257:::34.098%
1174:::줄어드는 숫자:::181:::561:::45.363%
1175:::배달:::142:::855:::26.007%
1176:::섞기:::34:::134:::39.080%
1177:::조쌤포스:::13:::65:::26.531%
1178:::간선 추가:::6:::239:::6.383%
1179:::마지막 요세푸스 문제:::68:::404:::33.498%
1180:::선인장의 지름:::16:::98:::21.918%
1181:::단어 정렬:::7918:::28143:::38.615%
1182:::부분수열의 합:::6382:::21839:::44.661%
1183:::약속:::27:::92:::48.214%
1184:::귀농:::123:::417:::41.980%
1185:::유럽여행:::93:::186:::62.416%
1186:::직사각형 색칠하기:::23:::102:::27.381%
1187:::숫자 놀이:::16:::78:::53.333%
1188:::음식 평론가:::801:::2379:::45.203%
1189:::컴백홈:::77:::169:::50.993%
1190:::골 세레모니:::3:::62:::10.714%
1191:::게임:::5:::39:::14.706%
1192:::장갑:::12:::84:::28.571%
1193:::분수찾기:::11158:::24508:::53.727%
"1194:::달이 차오른다, 가자.:::1051:::5666:::26.288%"
1195:::킥다운:::25:::85:::40.323%
1196:::잭 바우어:::15:::511:::5.792%
1197:::최소 스패닝 트리:::4120:::18671:::38.050%
1198:::삼각형으로 자르기:::45:::92:::59.211%
1199:::오일러 회로:::645:::4954:::21.652%
1200:::기상예측:::20:::62:::46.512%
1201:::NMK:::552:::2477:::29.870%
1202:::보석 도둑:::1002:::5944:::23.571%
1203:::게임:::4:::96:::4.938%
1204:::팰린드롬의 개수:::24:::124:::52.174%
1205:::등수 구하기:::695:::4447:::20.940%
1206:::사람의 수:::30:::380:::13.274%
1207:::종이 자르기:::5:::44:::26.316%
1208:::부분수열의 합 2:::950:::7297:::21.508%
1209:::단조수열 만들기:::93:::271:::47.208%
1210:::마피아:::106:::623:::20.703%
1211:::보일의 법칙:::6:::74:::75.000%
1212:::8진수 2진수:::3468:::15333:::31.114%
1213:::팰린드롬 만들기:::1384:::4642:::36.325%
1214:::쿨한 물건 구매:::36:::410:::17.647%
1215:::잘못 작성한 요세푸스 코드:::54:::489:::30.000%
1217:::하우스 M.D.:::26:::85:::49.057%
1218:::로봇:::10:::29:::66.667%
1219:::오민식의 고민:::467:::4935:::14.414%
1220:::MEGACITY:::15:::262:::12.000%
1221:::가까운 점:::6:::161:::22.222%
1222:::홍준 프로그래밍 대회:::194:::1391:::19.836%
1223:::마법의 돌:::2:::26:::12.500%
1224:::분수:::3:::28:::15.789%
1225:::이상한 곱셈:::1412:::4607:::37.896%
1226:::국회:::55:::264:::30.899%
1227:::그녀의 마음:::13:::29:::54.167%
1228:::전쟁:::4:::18:::23.529%
1229:::빅뱅의 여섯 번째 멤버:::26:::88:::76.471%
1230:::문자열 거리:::42:::291:::33.871%
1231:::주식왕 동호:::35:::239:::32.710%
1232:::체스:::2:::33:::33.333%
1233:::주사위:::543:::1048:::57.582%
1234:::크리스마스 트리:::301:::990:::40.187%
1235:::학생 번호:::179:::400:::57.006%
1236:::성 지키기:::739:::2312:::39.989%
1237:::정ㅋ벅ㅋ:::9044:::34503:::31.131%
1238:::파티:::3234:::11104:::42.920%
1239:::차트:::114:::330:::40.426%
1240:::노드사이의 거리:::188:::488:::51.366%
1241:::머리 톡톡:::36:::163:::39.560%
1242:::소풍:::168:::865:::30.216%
1243:::팰린드롬:::40:::160:::50.633%
1244:::스위치 켜고 끄기:::830:::4751:::22.022%
1245:::농장 관리:::45:::121:::51.136%
1246:::온라인 판매:::305:::634:::55.054%
1247:::부호:::230:::822:::40.780%
1248:::맞춰봐:::443:::1979:::34.582%
1249:::워드똑똑:::12:::45:::35.294%
1250:::색칠된 공들:::5:::752:::1.534%
1251:::단어 나누기:::491:::1749:::42.995%
1252:::이진수 덧셈:::976:::4168:::27.247%
1253:::좋다:::156:::1388:::20.940%
1254:::팰린드롬 만들기:::1054:::3419:::40.805%
1255:::전쟁 - 선전포고:::18:::112:::27.273%
1256:::사전:::1558:::7846:::28.082%
1257:::엄청난 부자:::27:::274:::28.125%
1258:::문제 할당:::24:::95:::63.158%
1259:::팰린드롬수:::713:::1299:::65.353%
1260:::DFS와 BFS:::15777:::83803:::31.074%
1261:::알고스팟:::3220:::13030:::38.609%
1262:::알파벳 다이아몬드:::39:::98:::46.988%
1263:::시간 관리:::119:::269:::53.363%
1264:::모음의 개수:::843:::1503:::64.647%
1265:::순열:::18:::52:::43.902%
1266:::일어나!:::13:::1326:::4.248%
1267:::핸드폰 요금:::1332:::4283:::35.071%
1268:::임시 반장 정하기:::524:::1726:::38.786%
1269:::대칭 차집합:::988:::2707:::48.984%
1270:::전쟁 - 땅따먹기:::39:::181:::33.333%
1271:::엄청난 부자2:::394:::1085:::51.169%
1272:::특별 노드:::13:::20:::68.421%
1273:::샷:::27:::192:::33.333%
1274:::커피숍1:::8:::1049:::3.756%
1275:::커피숍2:::1113:::5785:::25.255%
1276:::교각 놓기:::38:::90:::46.914%
1277:::발전소 설치:::13:::25:::68.421%
1278:::연극:::14:::27:::93.333%
1279:::내멋대로 주사위:::10:::41:::33.333%
1280:::나무 심기:::475:::4534:::16.368%
1281:::보석상:::6:::50:::50.000%
1282:::P-수열:::19:::72:::33.333%
1283:::단축키 지정:::62:::237:::39.241%
1284:::집 주소:::283:::352:::83.728%
1285:::동전 뒤집기:::250:::1049:::50.813%
1286:::부분 직사각형:::14:::23:::66.667%
1287:::할 수 있다:::56:::1129:::13.559%
1288:::전쟁 - 국지전:::4:::9:::100.000%
1289:::트리의 가중치:::359:::1616:::31.109%
1290:::배럭:::11:::126:::17.742%
1291:::이면수와 임현수:::75:::334:::25.168%
1292:::쉽게 푸는 문제:::3345:::6859:::56.446%
1293:::생물농축:::10:::44:::26.316%
1294:::문자열 장식:::62:::570:::15.196%
